CodeValue,ShortDescription,Description,Namespace
Karuk,Karuk,Karuk Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Kasaan,Kasaan,Organized Village of Kasaan,uri://ed-fi.org/TribalAffiliationDescriptor
Kashia,Kashia,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Kasigluk,Kasigluk,Kasigluk Traditional Elders Council,uri://ed-fi.org/TribalAffiliationDescriptor
Kaw,Kaw,"Kaw Nation, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Kenaitze,Kenaitze,Kenaitze Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Ketchikan,Ketchikan,Ketchikan Indian Corporation,uri://ed-fi.org/TribalAffiliationDescriptor
Kewa Pueblo,Kewa Pueblo,Kewa Pueblo,uri://ed-fi.org/TribalAffiliationDescriptor
Keweenaw,Keweenaw,"Keweenaw Bay Indian Community, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Kialegee,Kialegee,Kialegee Tribal Town,uri://ed-fi.org/TribalAffiliationDescriptor
Kiana,Kiana,Native Village of Kiana,uri://ed-fi.org/TribalAffiliationDescriptor
Kickapoo of Kansas,Kickapoo of Kansas,Kickapoo Tribe in Kansas,uri://ed-fi.org/TribalAffiliationDescriptor
Kickapoo of Oklahoma,Kickapoo of Oklahoma,Kickapoo Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Kickapoo of Texas,Kickapoo of Texas,Kickapoo Traditional Tribe of Texas,uri://ed-fi.org/TribalAffiliationDescriptor
King Island,King Island,King Island Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
King Salmon,King Salmon,King Salmon Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Kiowa,Kiowa,Kiowa Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Kipnuk,Kipnuk,Native Village of Kipnuk,uri://ed-fi.org/TribalAffiliationDescriptor
Kivalina,Kivalina,Native Village of Kivalina,uri://ed-fi.org/TribalAffiliationDescriptor
Klamath,Klamath,Klamath Tribes,uri://ed-fi.org/TribalAffiliationDescriptor
Klawock,Klawock,Klawock Cooperative Association,uri://ed-fi.org/TribalAffiliationDescriptor
Kluti-Kaah,Kluti-Kaah,Native Village of Kluti-Kaah (aka Copper Center),uri://ed-fi.org/TribalAffiliationDescriptor
Knik,Knik,Knik Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Kobuk,Kobuk,Native Village of Kobuk,uri://ed-fi.org/TribalAffiliationDescriptor
Koi,Koi,Koi Nation of Northern California,uri://ed-fi.org/TribalAffiliationDescriptor
Kokhanok,Kokhanok,Kokhanok Village,uri://ed-fi.org/TribalAffiliationDescriptor
Kongiganak,Kongiganak,Native Village of Kongiganak,uri://ed-fi.org/TribalAffiliationDescriptor
Kootenai,Kootenai,Kootenai Tribe of Idaho,uri://ed-fi.org/TribalAffiliationDescriptor
Kotlik,Kotlik,Village of Kotlik,uri://ed-fi.org/TribalAffiliationDescriptor
Kotzebue,Kotzebue,Native Village of Kotzebue,uri://ed-fi.org/TribalAffiliationDescriptor
Koyuk,Koyuk,Native Village of Koyuk,uri://ed-fi.org/TribalAffiliationDescriptor
